symbol,yf_symbol,exchange,sector,notes,active
RKFORGE,RKFORGE.NS,NSE,Automobile and Auto Components,,True
REDINGTON,REDINGTON.NS,NSE,Services,,True
RELIANCE,RELIANCE.NS,NSE,Oil Gas & Consumable Fuels,,True
RPOWER,RPOWER.NS,NSE,Power,,True
SBFC,SBFC.NS,NSE,Financial Services,,True
SBICARD,SBICARD.NS,NSE,Financial Services,,True
SBILIFE,SBILIFE.NS,NSE,Financial Services,,True
SJVN,SJVN.NS,NSE,Power,,True
SRF,SRF.NS,NSE,Chemicals,,True
SAGILITY,SAGILITY.NS,NSE,Information Technology,,True
SAILIFE,SAILIFE.NS,NSE,Healthcare,,True
SAMMAANCAP,SAMMAANCAP.NS,NSE,Financial Services,,True
MOTHERSON,MOTHERSON.NS,NSE,Automobile and Auto Components,,True
SAPPHIRE,SAPPHIRE.NS,NSE,Consumer Services,,True
SARDAEN,SARDAEN.NS,NSE,Metals & Mining,,True
SAREGAMA,SAREGAMA.NS,NSE,Media Entertainment & Publication,,True
SCHAEFFLER,SCHAEFFLER.NS,NSE,Automobile and Auto Components,,True
SCHNEIDER,SCHNEIDER.NS,NSE,Capital Goods,,True
SCI,SCI.NS,NSE,Services,,True
SHREECEM,SHREECEM.NS,NSE,Construction Materials,,True
SHRIRAMFIN,SHRIRAMFIN.NS,NSE,Financial Services,,True
SHYAMMETL,SHYAMMETL.NS,NSE,Capital Goods,,True
ENRIN,ENRIN.NS,NSE,Capital Goods,,True
SIEMENS,SIEMENS.NS,NSE,Capital Goods,,True
SIGNATURE,SIGNATURE.NS,NSE,Realty,,True
SOBHA,SOBHA.NS,NSE,Realty,,True
SOLARINDS,SOLARINDS.NS,NSE,Chemicals,,True
SONACOMS,SONACOMS.NS,NSE,Automobile and Auto Components,,True
SONATSOFTW,SONATSOFTW.NS,NSE,Information Technology,,True
STARHEALTH,STARHEALTH.NS,NSE,Financial Services,,True
SBIN,SBIN.NS,NSE,Financial Services,,True
SAIL,SAIL.NS,NSE,Metals & Mining,,True
SUMICHEM,SUMICHEM.NS,NSE,Chemicals,,True
SUNPHARMA,SUNPHARMA.NS,NSE,Healthcare,,True
SUNTV,SUNTV.NS,NSE,Media Entertainment & Publication,,True
SUNDARMFIN,SUNDARMFIN.NS,NSE,Financial Services,,True
SUPREMEIND,SUPREMEIND.NS,NSE,Capital Goods,,True
SPLPETRO,SPLPETRO.NS,NSE,Chemicals,,True
SUZLON,SUZLON.NS,NSE,Capital Goods,,True
SWANCORP,SWANCORP.NS,NSE,Chemicals,,True
SWIGGY,SWIGGY.NS,NSE,Consumer Services,,True
SYNGENE,SYNGENE.NS,NSE,Healthcare,,True
SYRMA,SYRMA.NS,NSE,Capital Goods,,True
TBOTEK,TBOTEK.NS,NSE,Consumer Services,,True
TVSMOTOR,TVSMOTOR.NS,NSE,Automobile and Auto Components,,True
TATACAP,TATACAP.NS,NSE,Financial Services,,True
TATACHEM,TATACHEM.NS,NSE,Chemicals,,True
TATACOMM,TATACOMM.NS,NSE,Telecommunication,,True
TCS,TCS.NS,NSE,Information Technology,,True
TATACONSUM,TATACONSUM.NS,NSE,Fast Moving Consumer Goods,,True
TATAELXSI,TATAELXSI.NS,NSE,Information Technology,,True
TATAINVEST,TATAINVEST.NS,NSE,Financial Services,,True
TMCV,TMCV.NS,NSE,Capital Goods,,True
