symbol,entry_date,entry_time,prev_close,gap_pct,first_candle_high,first_candle_low,entry,sl,tp,quantity,position_value,risk_amount,exit_date,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,holding_days
DELHIVERY,2026-06-22,2026-06-22 09:15:00,461.1,1.17,472.5,466.0,472.97,466.0,483.43,211,99796.67,1470.67,2026-06-23,2026-06-23 09:15:00,483.43,TP_HIT,2207.06,1.5,1
DIXON,2026-06-15,2026-06-15 09:15:00,11546.0,1.35,11990.0,11656.0,12001.99,11656.0,12520.97,7,84013.93,2421.93,2026-06-17,2026-06-17 09:15:00,12520.97,TP_HIT,3632.86,1.5,2
DRREDDY,2026-06-29,2026-06-29 09:15:00,1350.5,2.81,1414.0,1355.8,1415.41,1355.8,1504.83,41,58031.81,2444.01,2026-06-30,2026-06-30 09:15:00,1355.8,SL_HIT,-2444.01,-1.0,1
EICHERMOT,2026-05-25,2026-05-25 09:15:00,6981.5,3.66,7388.5,7215.0,7395.89,7215.0,7667.23,13,96146.57,2351.57,2026-05-29,2026-05-29 12:15:00,7215.0,SL_HIT,-2351.57,-1.0,4
ELECON,2026-05-22,2026-05-22 09:15:00,504.15,1.14,539.5,508.0,540.04,508.0,588.1,78,42123.12,2499.12,2026-05-25,2026-05-25 15:15:00,545.3,TIME_EXIT,410.28,0.16,3
ELECON,2026-06-12,2026-06-12 09:15:00,528.1,1.27,547.0,534.8,547.55,534.8,566.67,182,99654.1,2320.5,2026-06-15,2026-06-15 09:15:00,534.8,SL_HIT,-2320.5,-1.0,3
EMCURE,2026-06-09,2026-06-09 09:15:00,1719.6,1.77,1794.8,1750.0,1796.59,1750.0,1866.47,53,95219.27,2469.27,2026-06-10,2026-06-10 14:15:00,1750.0,SL_HIT,-2469.27,-1.0,1
EMCURE,2026-06-23,2026-06-23 09:15:00,1791.0,1.57,1902.7,1819.2,1904.6,1819.2,2032.7,29,55233.4,2476.6,2026-06-24,2026-06-24 10:15:00,1819.2,SL_HIT,-2476.6,-1.0,1
EMMVEE,2026-05-25,2026-05-25 09:15:00,264.3,1.59,277.7,265.25,277.98,265.25,297.08,196,54484.08,2495.08,2026-05-26,2026-05-26 09:15:00,297.08,TP_HIT,3743.6,1.5,1
EMMVEE,2026-05-26,2026-05-26 09:15:00,290.25,1.38,302.5,292.15,302.8,292.15,318.78,234,70855.2,2492.1,2026-05-29,2026-05-29 09:15:00,318.78,TP_HIT,3739.32,1.5,3
EMMVEE,2026-06-04,2026-06-04 09:15:00,327.7,1.01,341.35,328.2,341.69,328.2,361.93,185,63212.65,2495.65,2026-06-05,2026-06-05 10:15:00,328.2,SL_HIT,-2495.65,-1.0,1
ENDURANCE,2026-05-25,2026-05-25 09:15:00,2721.8,1.26,2785.0,2748.2,2787.78,2748.2,2847.15,35,97572.3,1385.3,2026-05-26,2026-05-26 09:15:00,2748.2,SL_HIT,-1385.3,-1.0,1
ENGINERSIN,2026-05-25,2026-05-25 09:15:00,216.0,1.48,225.0,216.65,225.22,216.65,238.07,291,65539.02,2493.87,2026-05-27,2026-05-27 09:15:00,238.07,TP_HIT,3739.35,1.5,2
FACT,2026-06-10,2026-06-10 09:15:00,876.05,1.39,929.0,888.25,929.93,888.25,992.45,59,54865.87,2459.12,2026-06-11,2026-06-11 09:15:00,888.25,SL_HIT,-2459.12,-1.0,1
FACT,2026-06-12,2026-06-12 09:15:00,889.2,1.44,909.3,886.7,910.21,886.7,945.48,106,96482.26,2492.06,2026-06-15,2026-06-15 15:15:00,906.75,TIME_EXIT,-366.76,-0.15,3
FINCABLES,2026-05-25,2026-05-25 09:15:00,1031.2,1.63,1088.6,1041.5,1089.69,1041.5,1161.98,51,55574.19,2457.69,2026-05-27,2026-05-27 12:15:00,1161.98,TP_HIT,3686.79,1.5,2
