symbol,trade_date,entry_time,or_high,or_low,or_range_pct,entry,sl,tp,quantity,position_value,risk_amount,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,gap_pct
DIVISLAB,2026-06-02,2026-06-02 14:15:00,6551.0,6465.0,1.33,6551.0,6465.0,6680.0,15,98265.0,1290.0,2026-06-02 15:15:00,6531.5,EOD_EXIT,-292.5,-0.23,-0.66
DIVISLAB,2026-06-03,2026-06-03 12:15:00,6580.0,6460.0,1.86,6580.0,6460.0,6760.0,15,98700.0,1800.0,2026-06-03 15:15:00,6569.0,EOD_EXIT,-165.0,-0.09,-0.2
DIVISLAB,2026-06-16,2026-06-16 11:15:00,6647.5,6589.5,0.88,6647.5,6589.5,6734.5,15,99712.5,870.0,2026-06-16 15:15:00,6715.5,EOD_EXIT,1020.0,1.17,0.17
DIVISLAB,2026-06-18,2026-06-18 13:15:00,6675.5,6640.5,0.53,6675.5,6640.5,6728.0,14,93457.0,490.0,2026-06-18 14:15:00,6728.0,TP_HIT,735.0,1.5,-0.03
DIVISLAB,2026-06-22,2026-06-22 14:15:00,6758.0,6714.0,0.66,6758.0,6714.0,6824.0,14,94612.0,616.0,2026-06-22 15:15:00,6792.0,EOD_EXIT,476.0,0.77,0.18
DIVISLAB,2026-06-30,2026-06-30 11:15:00,6580.0,6540.5,0.6,6580.0,6540.5,6639.25,15,98700.0,592.5,2026-06-30 14:15:00,6639.25,TP_HIT,888.75,1.5,0.05
DIVISLAB,2026-07-02,2026-07-02 12:15:00,6619.0,6545.0,1.13,6619.0,6545.0,6730.0,15,99285.0,1110.0,2026-07-02 15:15:00,6685.5,EOD_EXIT,997.5,0.9,0.83
GRASIM,2026-05-06,2026-05-06 14:15:00,2905.4,2880.1,0.88,2905.4,2880.1,2943.35,34,98783.6,860.2,2026-05-06 15:15:00,2916.2,EOD_EXIT,367.2,0.43,0.49
GRASIM,2026-05-11,2026-05-11 12:15:00,2954.1,2931.2,0.78,2954.1,2931.2,2988.45,33,97485.3,755.7,2026-05-11 13:15:00,2988.45,TP_HIT,1133.55,1.5,-0.49
GRASIM,2026-05-18,2026-05-18 14:15:00,2920.1,2885.2,1.21,2920.1,2885.2,2972.45,34,99283.4,1186.6,2026-05-18 15:15:00,2941.5,EOD_EXIT,727.6,0.61,-0.95
GRASIM,2026-05-20,2026-05-20 14:15:00,2910.0,2886.0,0.83,2910.0,2886.0,2946.0,34,98940.0,816.0,2026-05-20 15:15:00,2971.1,EOD_EXIT,2077.4,2.55,-0.92
GRASIM,2026-06-02,2026-06-02 14:15:00,3094.4,3061.0,1.09,3094.4,3061.0,3144.5,32,99020.8,1068.8,2026-06-02 15:15:00,3096.7,EOD_EXIT,73.6,0.07,-0.86
GRASIM,2026-06-04,2026-06-04 13:15:00,3125.0,3092.5,1.05,3125.0,3092.5,3173.75,32,100000.0,1040.0,2026-06-04 15:15:00,3100.0,EOD_EXIT,-800.0,-0.77,-0.05
GRASIM,2026-06-05,2026-06-05 10:15:00,3124.3,3096.6,0.89,3124.3,3096.6,3165.85,32,99977.6,886.4,2026-06-05 11:15:00,3096.6,SL_HIT,-886.4,-1.0,0.18
GRASIM,2026-06-10,2026-06-10 12:15:00,3103.2,3082.6,0.67,3103.2,3082.6,3134.1,32,99302.4,659.2,2026-06-10 14:15:00,3082.6,SL_HIT,-659.2,-1.0,-0.18
GRASIM,2026-06-11,2026-06-11 11:15:00,3073.2,3045.8,0.9,3073.2,3045.8,3114.3,32,98342.4,876.8,2026-06-11 15:15:00,3089.3,EOD_EXIT,515.2,0.59,-0.43
GRASIM,2026-06-22,2026-06-22 14:15:00,3157.1,3128.2,0.92,3157.1,3128.2,3200.45,31,97870.1,895.9,2026-06-22 15:15:00,3170.1,EOD_EXIT,403.0,0.45,0.24
GRASIM,2026-06-24,2026-06-24 12:15:00,3141.0,3097.0,1.42,3141.0,3097.0,3207.0,31,97371.0,1364.0,2026-06-24 15:15:00,3129.0,EOD_EXIT,-372.0,-0.27,-0.3
GRASIM,2026-06-25,2026-06-25 11:15:00,3141.0,3115.1,0.83,3141.0,3115.1,3179.85,31,97371.0,802.9,2026-06-25 15:15:00,3125.6,EOD_EXIT,-477.4,-0.59,0.13
GRASIM,2026-06-30,2026-06-30 11:15:00,3106.0,3080.5,0.83,3106.0,3080.5,3144.25,32,99392.0,816.0,2026-06-30 15:15:00,3098.4,EOD_EXIT,-243.2,-0.3,0.16
